Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
PRGO,13580000000,7/20/2016,4:02 PM,1.93%,1664951,3106610
PFE,2.22E+11,7/20/2016,4:00 PM,0.11%,12246033,26402400
PCG,31880000000,7/20/2016,4:00 PM,-0.23%,2009074,2638420
PM,1.55E+11,7/20/2016,4:03 PM,-0.24%,5568506,4336260
PSX,39600000000,7/20/2016,4:02 PM,-0.53%,2133002,3058050
PNW,8800000000,7/20/2016,4:02 PM,-0.67%,553167,806841
PXD,25170000000,7/20/2016,4:00 PM,-0.66%,1796522,2105170
PBI,3560000000,7/20/2016,4:01 PM,0.69%,962517,1724570
PNC,40720000000,7/20/2016,4:01 PM,0.28%,2457175,2638150
RL,8290000000,7/20/2016,4:02 PM,1.26%,473078,1492380
PPG,29270000000,7/20/2016,4:01 PM,1.52%,2359115,1475550
PPL,25010000000,7/20/2016,4:04 PM,-0.59%,3799110,4996510
PX,33740000000,7/20/2016,4:01 PM,0.08%,480430,1181560
PCLN,67150000000,7/20/2016,4:00 PM,1.95%,648945,652221
PFG,12880000000,7/20/2016,4:03 PM,0.50%,1069776,1625600
PG,2.27E+11,7/20/2016,4:01 PM,-0.21%,6275845,7383950
PGR,19090000000,7/20/2016,4:02 PM,-0.21%,1781673,3034710
PLD,27110000000,7/20/2016,4:03 PM,-0.21%,3004750,3248770
PRU,33390000000,7/20/2016,4:02 PM,0.49%,1828618,2439520
PEG,22970000000,7/20/2016,4:02 PM,-0.96%,1867377,3119920
PSA,43680000000,7/20/2016,4:00 PM,-0.09%,376253,873327
PHM,7070000000,7/20/2016,4:02 PM,0.25%,4322749,4688630
PVH,8100000000,7/20/2016,4:02 PM,1.95%,626763,1213340
QRVO,7750000000,7/20/2016,4:00 PM,0.66%,1102827,1518050
QCOM,81990000000,7/20/2016,4:00 PM,1.23%,15870472,9246220
PWR,3860000000,7/20/2016,4:00 PM,0.35%,1496173,2430740
DGX,11820000000,7/20/2016,4:00 PM,0.49%,939320,1186970
RRC,6990000000,7/20/2016,4:02 PM,-3.25%,2160957,4047910
